Name,Issue Type,Priority,Rank,Status,Target Sprint,Build Number,Opened Date,Opened Time,Days old,Attachments,Assigned to,Progress Comments,Description,Duplicates?,Bug source,Associated features,Created by,Notification status,If complete,Closed,Notified users?,Status Time Changed,Date Completed,Minutes To Completion
"Career Section: Remove the hierarchical display of Plan. Break goal, motivation, and objectives out into their own headers/sections to create uniformity on the page.",UI Fix,Critical,5,Complete,,,2020-03-18,3/18/2020 4:58pm,143,,Adam Galper,,,,,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 3:34pm,2020-03-25,9996
Homepage: Inspiration Pad: change the drop shadow/glow around the icons to surround the icon rather than have a heavier right-aligned drop shadow,UI Fix,Critical,3,Complete,,,2020-03-19,3/18/2020 5:52pm,142,,Adam Galper,Would be nice to have an attachment here,"The drop shadowing on the icons in Vamsi's mock up of the Inspiration pad appear to have a drop shadow/glow that surrounds each icon. Ours appears to right-aligned under shadow.

Link to Vamsi's mock up: https://drive.google.com/file/d/1z-JiAP5Gv15zc7qK-3ZzGap1Of3hKMYc/view?usp=sharing",,Nicole & Giselle discussed after reviewing the Ready for Review issues on 3/18/2020.,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 3:26pm,2020-03-25,9934
"Homepage: Inspiration pad: Change the name beneath the current ""Reflection"" icon to be Plan. Change the header of the Career Plan landing page to Career Plan (from Career Reflection)",UI Fix,Critical,3,Complete,,,2020-03-19,3/18/2020 5:54pm,142,"Screen Shot 2020-03-19 at 6_50_29 AM.png (https://dl.airtable.com/.attachments/1bfd78d1e9e8665f3773f3871be4d8c3/a391065b/ScreenShot2020-03-19at6_50_29AM.png),Screen Shot 2020-03-19 at 6_51_18 AM.png (https://dl.airtable.com/.attachments/09c1495cc96256a3a5f00d7df67611eb/9f83f02f/ScreenShot2020-03-19at6_51_18AM.png)",Adam Galper,,,,Nicole & Giselle discussed after reviewing the Ready for Review issues on 3/18/2020.,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 8:04am,2020-03-25,9490
"All entries in Career Section: Change the title of the Required field to ""Basics""; ",UI Fix,Critical,2,Complete,,,2020-03-19,3/19/2020 6:55am,142,,Nicole Johnson,3.23.2020 Do a global search and replace. Replace all Required with Basics,"We propose changing the name of the Required section for each entry to Basics. This change will make the names of the three sections of each entry parallel (Basics, Feelings, Details). It also reduces possible confusion about why there is an optional field in the Required section of an entry since we'd like to keep the Description after the name of the entry. 

If I can help with this, please let me know - Nicole",,Nicole & Giselle discussed after reviewing the Ready for Review issues on 3/18/2020.,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 3:07pm,2020-03-25,9132
Accomplishment Page: Remove the Take the Credit button on the Accomplishment card,UI Fix,Critical,5,Complete,,,2020-03-19,3/19/2020 7:07am,142,Screen Shot 2020-03-19 at 7_07_42 AM.png (https://dl.airtable.com/.attachments/0d3893d7307ae7b09ea48a48fedffce2/f9025cc3/ScreenShot2020-03-19at7_07_42AM.png),Adam Galper,,,,Nicole & Giselle discussed after reviewing the Ready for Review issues on 3/18/2020.,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 3:35pm,2020-03-25,9148
The FirstEntryAttributeSpec feature is populating as a first entry even when I have not entered text into the attributeSpec. See description,Functional Bug,Critical,1,Complete,,,2020-03-19,3/19/2020 4:03pm,142,,,,"For the chat PitchYouGotAccomplishments (You've Got Accomplishments in the Essentials), we use the FirstEntryAttributeSpec feature for the statement PitchYouGotAccomplishments.30sec. 

FirstEntryAttributeSpec is behaving differently than I expected. It is adding an Accomplishment entry as soon as the screen is swiped through or consumed even when no text is added to the textArea. I expected it to only populate the attributeSpec Accomplishment.description if something is written into the textArea of the attribute Pitching.accompMatter30sec. If possible to have FirstEntryAttributeSpec behave this way, that would be excellent.",,Nicole testing the app on 3.19.2020,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 2:38pm,2020-03-25,8555
"Product source is missing in the drawer for the chat PoliteDoubleEdgedSword, statement PoliteDoubleEdgedSword.cornerOffice",Functional Bug,Critical,1,Complete,,,2020-03-20,3/19/2020 5:22pm,141,,Adam Galper,,,,Nicole testing app in dev 3.19.2020,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 2:41pm,2020-03-25,8478
"Chats to Complete: We propose the most recent unfinished chat be the first chat in Chats to Complete, even if the user has the unfinished chat somewhere else in Chats to Complete.",New Feature,Critical,1,Complete,,,2020-03-23,3/23/2020 3:44pm,138,,,,"Right now Chats to Complete is set up so that an unfinished chat is in a fixed position in the carousel. 
1. She begins consuming chat A, doesn't finish it, chat A goes to Chats to Complete. 
2. She views several other chats, some she completes and some she doesn't.
3. She finds Chat A in the library, starts again from where she left off, but she doesn't finish Chat A again. Chat A moves to the front of the line in Chats to Complete since it is her most recent unfinished chat. 

Same type of rule as with the Takeaway statements in the Takeaways landing page.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 2:44pm,2020-03-25,2820
Add an * to the Empowered feelings in the Required(Basics) section,Content Fix,Critical,2,Complete,,,2020-03-24,3/23/2020 5:10pm,137,,Adam Galper,,,,,,Nicole Johnson,⚠️ Need to notify,1,1,,3/25/2020 3:15pm,2020-03-25,2765
"change ""Other"" option in COMBOBOX to be ""add other""",UI Fix,Critical,10,Complete,,20,2019-11-14,11/14/2019 6:35am,268,,Adam Galper,,"The ""other"" option feels not so clear to the user on what it is. The option doesn't clearly state to the user that she can add something new. ",,Giselle sent a slack 11/13/19 explaining when we say other it’s not so clear she can “add new”.,,Nicole Johnson,⚠️ Need to notify,1,1,,3/26/2020 2:58pm,2020-03-26,191962
Completion card: Change background (background png is in Attachments); see link in the description for additional changes,UI Fix,Critical,10,Complete,,,2020-02-19,2/19/2020 10:35am,171,Background.png (https://dl.airtable.com/.attachments/3db4c287f02dc6ea6896665d0c2ecc18/07e389c9/Background.png),Adam Galper,,https://drive.google.com/file/d/13j6HpkHcn3jWtRodqabOscaNYCIyOuUK/view?usp=sharing,,,,,⚠️ Need to notify,1,1,,3/26/2020 3:25pm,2020-03-26,52070
"All Entries: Change the ""Add Entry"" button at the top of each entry landing page so it is smaller with rounded corners. Try it as a white button with grey text.",UI Fix,Critical,2,Complete,,,2020-03-19,3/19/2020 7:09am,142,"Screen Shot 2020-03-19 at 7_12_46 AM.png (https://dl.airtable.com/.attachments/c89875642c1bd1656044bb456b6b1735/67a2559e/ScreenShot2020-03-19at7_12_46AM.png),Screen Shot 2020-03-19 at 7_13_02 AM.png (https://dl.airtable.com/.attachments/7440cccecad5f9611b6e04faeaaa334c/56da4459/ScreenShot2020-03-19at7_13_02AM.png)",Adam Galper,,"Vamsi's mock ups show the Add New button as being smaller with rounded edges, giving it more of a button look. We want to try a white background with dark grey text as seen in the ""New Pitch"" mock up. ",,Nicole & Giselle discussed after reviewing the Ready for Review issues on 3/18/2020.,,Nicole Johnson,⚠️ Need to notify,1,1,,3/26/2020 3:38pm,2020-03-26,10588
The series Why Women Are Not In the Know is not displaying in the Series list in Essentials. ,Functional Bug,Critical,1,Complete,,,2020-03-25,3/25/2020 2:40pm,136,,,,,,,,,⚠️ Need to notify,1,1,,3/26/2020 2:56pm,2020-03-26,1456
Function: evaluate user responses across attributes in the same chat ,New Feature,Critical,12,Complete,,,2020-02-03,2/3/2020 3:08pm,187,,Adam Galper,"2/10, NJ: Links to sample documents added to the Description. 

This was the concept of developing a score function for a set of attributes and then using that score function in enableIf for several statements. Giselle and Nicole to work on an example for my review.


See Doc 2 for @countResponses approach","Link to Doc 1: https://docs.google.com/spreadsheets/d/1LZ97gLupbJ_WFPNFHOZzRT0lh11mDwHg_PdIOU9LI80/edit?usp=sharing

Link to Doc 2: https://docs.google.com/document/d/1Gu-MtBXI_7Obxq5KkJRgWhj4dFX0P0gREnJ1fRaKdcE/edit?usp=sharing",,,,,⚠️ Need to notify,1,1,,3/26/2020 9:48pm,2020-03-27,75220
Homepage: changing NewsFlash to be white,UI Fix,Critical,3,Complete,,,2020-03-09,3/9/2020 3:39pm,152,,Adam Galper,,https://drive.google.com/file/d/1z-JiAP5Gv15zc7qK-3ZzGap1Of3hKMYc/view?usp=sharing,,,,,⚠️ Need to notify,1,1,,3/26/2020 9:49pm,2020-03-27,24849
Homepage: change the ordering of the sections,UI Fix,Critical,3,Complete,,,2020-03-09,3/9/2020 3:40pm,152,,Adam Galper,,https://drive.google.com/file/d/1z-JiAP5Gv15zc7qK-3ZzGap1Of3hKMYc/view?usp=sharing,,,,,⚠️ Need to notify,1,1,,3/26/2020 10:17pm,2020-03-27,24877
Essentials Page: Add Topics segment to Essentials,UI Fix,Critical,6,Complete,,,2020-03-09,3/9/2020 4:33pm,152,,Adam Galper,,"3/16/2020 We also discussed sticking with the current Essentials UI and adding a Topics segment button to the top. 

Link to Vamsi's mock up of essentials: https://drive.google.com/file/d/1JIwjhWqUgcFzkMFb39rbODyRt32SEdkL/view?usp=sharing",,,,,⚠️ Need to notify,1,1,,3/26/2020 10:18pm,2020-03-27,24824
"Homepage: Grey out the Quotes, Community, and Feedback icons on the Inspiration pad",UI Fix,Critical,3,Complete,,,2020-03-10,3/10/2020 1:55pm,151,,Adam Galper,,https://drive.google.com/file/d/1z-JiAP5Gv15zc7qK-3ZzGap1Of3hKMYc/view?usp=sharing,,,,,⚠️ Need to notify,1,1,,3/26/2020 9:49pm,2020-03-27,23513
Disable Activity Review button on Career Page so it is not clickable,UI Fix,Critical,1,Complete,,,2020-03-24,3/24/2020 10:08am,137,,Adam Galper,"3.25.2020 We'd like for the blue bar to not be clickable. Right now, you can still click it and it changes colors. ","Disable the Activity Review button in the Career Section and remove it from the list. 

We discussed removing the text from the button and leaving the disabled button on the screen as a divider. ",,,,,⚠️ Need to notify,1,1,,3/26/2020 8:56pm,2020-03-27,3527
UI Scrub: Apply nunito sans throughout app,UI Fix,Critical,4,Complete,,37,2020-01-13,1/13/2020 8:57am,208,,Adam Galper,"Can you be specific about where you think this is a problem? 
I have changed the fallback font to courier so it should be easier to see if Nunito is not being used.",,,,,,⚠️ Need to notify,1,1,,3/30/2020 5:05pm,2020-03-31,111307
Decrease the size of the font on the Takeaway Tiles in the Takeaway Tile landing page by 2-4 points.,UI Fix,Critical,10,Complete,,,2020-03-02,3/2/2020 4:16am,159,,Adam Galper,3/25/2020 Review with Adam live so we can see what looks best. ,"27 characters (including spaces) display on one line on the Takeaway tile in the Takeaway landing page. It would be helpful to get the font small enough so 30-31 characters can fit on a single line, yet also keep it large enough so we maintain some of that chunky, bold look we want.",,,,,⚠️ Need to notify,1,1,,3/30/2020 5:09pm,2020-03-31,41032
Enhance @countResponses to support testing for a count that is greater than a number (in addition to exactly equal),New Feature,Critical,12,Complete,,,2020-03-06,3/6/2020 2:36pm,155,,Adam Galper,"E.g. To enable a statement when at least 1 of 3 responses is high or skip, use the following:

@countResponses ( 'feelings', [ $Pitching.positivity, $Pitching.confidence, $Pitching.clarity ], { or: [ { 'level.high': '>1' }, { skip: '>1' } ] } )

Note that when using the greater than or less than sign, you must quote the count. If you do not use a > or < (e.g. { 'level.high': 3 } ), the implication is that you are testing for equality and you do not need to quote the count.",Function will be used in enableif to allow prompting of a selection from the among the ones satisfying the constraints,,,,,⚠️ Need to notify,1,1,,3/30/2020 5:12pm,2020-03-31,34656
Essentials Page: Remove hierarchical display of chats in a series; introduce sub pages for a selected topic and a selected series. ,UI Fix,Critical,6,Complete,,,2020-03-09,3/9/2020 4:33pm,152,,Adam Galper,"See ""New Library"" in hamburger menu","3/16/2020 We don't have a mock up from Vamsi for this. We discussed removing the current hierarchical display of chats, and instead using a sub page approach. So the first page of essentials would list all of the Topics. The user clicks a Topic, and the next subpage displays all of the Series in that Topic. The user clicks on a Series, and another subpage opens displaying all of the chats within the Series. ",,,,,⚠️ Need to notify,1,1,,3/30/2020 5:07pm,2020-03-31,30274
"Accomplishment Page: when the heart is selected, change to a Raspberry outline with grey fill. ",UI Fix,Critical,5,Complete,,,2020-03-10,3/9/2020 5:27pm,151,Screen Shot 2020-03-16 at 3_02_45 PM.png (https://dl.airtable.com/.attachments/6d2d403b467f28b80162eb0d0e461978/bb60ce91/ScreenShot2020-03-16at3_02_45PM.png),Adam Galper,"this ends up being very difficult. i would need to design a new two-tone icon; since all of our icons so far are monochromatic. for now, i have demonstrated a raspberry outline and a solid grey fill.","When the heart is selected on this page, we'd like it to go from light grey fill to a darker grey fill with a Raspberry outlined (#A91B60)",,,,,⚠️ Need to notify,1,1,,3/30/2020 5:05pm,2020-03-31,30218
Submit button on Edit Entry screens turns hot pink from grey once all asterisked fields are complete. ,Functional Bug,Critical,1,Complete,,,2020-03-25,3/25/2020 2:46pm,136,,,,"3.26.2020: We propose the Submit button always be at the bottom of an Edit Entry screen. But we'd like the button to be grey when the user has not completed all of the asterisked sections. Once she completes all of the asterisked sections, we'd like the button to turn pink. ",,testing the app with Giselle on 3.25.2020,,Nicole Johnson,⚠️ Need to notify,1,1,,3/31/2020 4:30pm,2020-03-31,8744
"Homepage: Change the UpNext and Inspiration headings on the homepage to match the size, color, and boldness of the Playlist and Chats to Complete headings",UI Fix,Critical,3,Complete,,,2020-03-26,3/26/2020 2:59pm,135,,,,,,,,Nicole Johnson,⚠️ Need to notify,1,1,,3/30/2020 5:05pm,2020-03-31,5885
"Satisfaction entry: Space between Basics heading and ""Satisfaction Name"" attributeSpec is double-spaced",UI Fix,Critical,5,Complete,,,2020-03-26,3/26/2020 3:04pm,135,Screen Shot 2020-03-26 at 3_04_57 PM.png (https://dl.airtable.com/.attachments/2b3cab978ba2980ec95d17d868547af0/719125c1/ScreenShot2020-03-26at3_04_57PM.png),,,,,,,Nicole Johnson,⚠️ Need to notify,1,1,,3/30/2020 5:06pm,2020-03-31,5882
Completion Card: Change the text at the top of the card to Congrats! [chatName] checkmark; change the chatName to black font,UI Fix,Critical,10,Complete,,,2020-03-26,3/26/2020 3:19pm,135,,,,"We would like to change the text at the top of the Completion card to match the text on Vamsi's mock up. 

Congrats! [chatName] (image of checkmark) ",,,,,⚠️ Need to notify,1,1,,3/30/2020 5:09pm,2020-03-31,5870
"Completion Card: Change the text on bottom two buttons to say ""See more like this"" (top button) and ""No. I'm done"" (bottom button). No periods, except after No",UI Fix,Critical,10,Complete,,,2020-03-26,3/26/2020 3:22pm,135,,,,,,,,,⚠️ Need to notify,1,1,,3/30/2020 5:09pm,2020-03-31,5867
"Essentials Page: Change Explore, Saved, and Gear headings to Learn, Shop, Reflect",UI Fix,Critical,6,Complete,,,2020-03-27,3/26/2020 9:41pm,134,,,,,,,,,⚠️ Need to notify,1,1,,3/30/2020 5:06pm,2020-03-31,5485
Essentials Page: Remove the badges with numbers that indicate how many series in a topic and chats in a series. ,UI Fix,Critical,6,Complete,,,2020-03-27,3/26/2020 9:43pm,134,,,,,,As discussed in our meeting on 3.26.2020,,Nicole Johnson,⚠️ Need to notify,1,1,,3/30/2020 5:07pm,2020-03-31,5484
Change Track Satisfaction to just Satisfaction throughout the app. See description.,UI Fix,Critical,5,Complete,,,2020-03-27,3/26/2020 10:14pm,134,,,,"We propose changing Track Satisfaction to Satisfaction throughout the app. 

We've identified that Track Satisfaction needs to be changed on the Satisfaction entry landing page, the Satisfaction edit entry screen, and in the pink plus button menu.",,reviewing the app on 3.25.2020,,Nicole Johnson,⚠️ Need to notify,1,1,,3/31/2020 4:28pm,2020-03-31,6854
ProductSources to allow markdown or html italics in the title. See description,New Feature,Critical,15,Complete,,,2020-03-27,3/26/2020 10:57pm,134,,,,"We'd like to be able to italicize book titles in the ProductSources. Examples are source IDs WHWH12 and WHWE02.

If not easily done, we'll find a way around this.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,3/31/2020 4:28pm,2020-03-31,6811
Satisfaction entry: change the labels of the buttons for the Feelings in Satisfaction. See description,UI Fix,Critical,5,Complete,,,2020-03-26,3/26/2020 3:26pm,135,,,Update Scale1-3 handling to use attributespec optionLinks,"For Passage of Time, we'd like the buttons to say Slow, Normal, Fast

For Mental State, we'd like the buttons to say Stressed, Normal, Calm

All the others can remain as is.",,,,,⚠️ Need to notify,1,1,,3/31/2020 9:58pm,2020-04-01,7592
Change the Chats to Complete heading on the homepage to In Progress ,UI Fix,Critical,16,Complete,,,2020-04-01,4/1/2020 4:26pm,129,,,,"Since we are using In Progress on the LEARN page, we want the homepage to match. ",,,,,⚠️ Need to notify,1,1,,4/3/2020 5:32pm,2020-04-04,2945
Pink Plus Button: Increase the size of the font for the actions accessible by the pink plus button. See description. ,UI Fix,Critical,16,Complete,,,2020-04-01,3/31/2020 5:03pm,129,Screen Shot 2020-03-31 at 5_06_57 PM.png (https://dl.airtable.com/.attachments/e11fda996fb955c30e72f03de1c54ab6/01cc5e1c/ScreenShot2020-03-31at5_06_57PM.png),,,We'd like increase the size of the font of the text in the pink plus button to be the same size as the font used in the Series list in the Essentials. ,,,,Nicole Johnson,⚠️ Need to notify,1,1,,4/6/2020 10:42am,2020-04-06,8259
Match the list of Series on the Series page and on the Series page accessed by Topics > Series to be the font size and spacing of the first LEARN landing page,UI Fix,Critical,16,Complete,,,2020-04-01,3/31/2020 5:45pm,129,Screen Shot 2020-03-31 at 5_28_26 PM.png (https://dl.airtable.com/.attachments/345a5f54d513656b3ab256f8fe9998ca/57e670e1/ScreenShot2020-03-31at5_28_26PM.png),,,"We'd like all the pages in Essentials to have the same spacing and font size as the first landing page of LEARN, with the exception being the Chats. 

We want to leave the chats on cards. ",,,,Nicole Johnson,⚠️ Need to notify,1,1,,4/6/2020 10:42am,2020-04-06,8216
COLLECTIONS Collection entrySpec only has a Details inputBlock. The inputBlockName should display as Required.,Functional Bug,Critical,18,Complete,,35,2020-01-09,1/9/2020 3:30pm,212,IMG_F0601AB7F67B-1.jpeg (https://dl.airtable.com/.attachments/c284647a10b0f4e5728f9cdf0d95c8d4/780acf64/IMG_F0601AB7F67B-1.jpeg),Nicole Johnson,,"This is the same UI fix as with the Motivation entrySpec. The only inputBlock displaying is Details, rather than Required. ",,,,,⚠️ Need to notify,1,1,,4/14/2020 9:45am,2020-04-14,137835
The different work types are replicating in the Satisfaction entry. See description.,Functional Bug,Critical,2,Complete,,38,2020-01-16,1/16/2020 3:26pm,205,"Screen Shot 2020-03-24 at 9_24_04 AM.png (https://dl.airtable.com/.attachments/7a60b0ac5537043f68cbf5c306ebca0e/0e629959/ScreenShot2020-03-24at9_24_04AM.png),Screen Shot 2020-03-24 at 9_23_52 AM.png (https://dl.airtable.com/.attachments/7867b2df121f8f98376986c2629b4251/162f1d5b/ScreenShot2020-03-24at9_23_52AM.png),Screen Shot 2020-03-24 at 9_24_09 AM.png (https://dl.airtable.com/.attachments/190adff7cf5d573983e4c9a6f6d7292f/8f97ba67/ScreenShot2020-03-24at9_24_09AM.png)",Adam Galper,,"When I add an ""other"" option to the TypeOfWork attribute in the Satisfaction entry, the fixed options duplicate. Meaning that each time an ""other"" option is added, the Meeting, Analysis, and Writing options are added again as well. So I end up with a list that is: 
Meeting
Analysis 
Writing 
Meeting
Analysis 
Writing 
Meeting
Analysis 
Writing 
Other 1
Other 2
Add other...",,,,,⚠️ Need to notify,1,1,,4/14/2020 10:59am,2020-04-14,127833
Change the order of the feelings in Satisfaction. See description,UI Fix,Critical,16,Complete,,,2020-04-01,3/31/2020 5:32pm,129,,"Nicole Johnson,Adam Galper",3.31.2020: I already changed the order of the feelings in the appropriate attributeSpecs. NJ,"We'd like the feelings for time to be: slow, normal, fast
The feelings for mental state to be: stressed, normal, calm. ",,,,,⚠️ Need to notify,1,1,,4/14/2020 10:20am,2020-04-14,19727
The Type of Work segment button in an Accomplishment entry reverted back to a drop down menu,Functional Bug,Critical,17,Complete,,,2020-04-06,4/6/2020 3:38pm,124,Screen Shot 2020-04-06 at 3_38_10 PM.png (https://dl.airtable.com/.attachments/83528c9b3709753d6da1f48615c9b88b/2147b9ec/ScreenShot2020-04-06at3_38_10PM.png),,,,,exploring the app on 4.6.2020,,,⚠️ Need to notify,1,1,,4/14/2020 9:55am,2020-04-14,11177
Add to Collection doesnt seem to save the entry in the collection,Functional Bug,Critical,18,Complete,,,2020-04-08,4/8/2020 4:23pm,122,,,,,,,,,⚠️ Need to notify,1,1,,4/14/2020 9:45am,2020-04-14,8241
Add a description attribute to Collections,UI Fix,Critical,18,Complete,,,2020-04-09,4/8/2020 5:40pm,121,,Nicole Johnson,,,,,,,⚠️ Need to notify,1,1,,4/14/2020 9:43am,2020-04-14,8163
"Remove the ""MISSING PLACEHOLDER TEXT"" text that appears when there isn't a placeholder for the TextArea inputType",UI Fix,Critical,18,Complete,,,2020-04-13,4/13/2020 3:30pm,117,Screen Shot 2020-04-13 at 3_29_38 PM.png (https://dl.airtable.com/.attachments/e8189bf45a266a70965fb76d67dbf465/c7dcaa4e/ScreenShot2020-04-13at3_29_38PM.png),Adam Galper,,"Not all attributes with the textArea inputType have placeholder text that we want to display. So when there is a textArea without a placeholder, I propose the text area block be empty rather than say ""MISSING PLACEHOLDER TEXT""",,,,Nicole Johnson,⚠️ Need to notify,1,1,,4/14/2020 9:43am,2020-04-14,1092
ESSENTIALS: Remove arrow from Chat cards in Essentials; add a ... menu instead. See description,UI Fix,Critical,6,Complete,,,2020-04-03,4/3/2020 11:07am,127,,,,"The ... menu will include actions. 
Current actions are:
Start chat
Add to Playlist
Remove from Playlist
Share",,,,,⚠️ Need to notify,1,1,,4/17/2020 4:09pm,2020-04-17,20461
ESSENTIALS: Also allow adding a Series to the Playlist from the Essentials page.,New Feature,Critical,6,Complete,,,2020-04-14,4/14/2020 11:17am,116,,,,We propose allowing the user to add an entire series to her playlist from the Series page in the Essentials.,,,,,⚠️ Need to notify,1,1,,4/17/2020 2:45pm,2020-04-17,4527
PITCH ENTRY: add Pitch type radio chips with the 4 initial pitch types to Edit Pitch Entry,Content Fix,Critical,5,Complete,,,2020-01-16,1/16/2020 8:06am,205,,,"Added RADIOCHIPS attribute
Unclear from description if there is an additional requirement	","The Pitch Type segment buttons should go in the Details section of the entry. The 4 pitch types are: Elevator, Networking, Goal, and Social 

-------------------------------------------------------
3/9/2020 Update form Giselle: My version says Pitch Ready at the top with “going places?” underneath and 4 boxes. Left to right, top to bottom 1) top row: elevator, networking 2) bottom row: goal, social
the idea is that they would not be in color or be bolded until she filled these in and she always needs to be “pitch ready”. they will fade out after 3 months. she can make them live, but the goal is to keep them fresh.
-------------------------------------------------------
Get opportunity; Get market info ;  Build your network; Grow your gigs. DETAILS Get opportunity 

for your career goal I’m interested in becoming a  and I am looking for classes in
Get market info I’d to learn about position
Build your network I’d like to meet people who

Grow your gigs I’m enjoying this gig work and look forward to more.",,,,,⚠️ Need to notify,1,1,,4/20/2020 4:12pm,2020-04-20,137226
ESSENTIALS: Checkmark to mark chats as read. See description,UI Fix,Critical,6,Complete,,,2020-04-09,4/8/2020 6:04pm,121,,Adam Galper,"4.16.2020 Move the checkmark next to the In Progress or In Playlist text, so they are in the same corner. ","Bring back the checkmark on the Chat card to denote when a chat has been previously read or consumed. 

Use the Raspberry #A91B60 color for the checkmark.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,4/20/2020 4:14pm,2020-04-20,17169
HOMEPAGE: Change the message on the Favorites landing page that appears when no accomplishments have been hearted. See image and description. ,UI Fix,Critical,3,Complete,,,2020-04-15,4/15/2020 10:57am,115,Screen Shot 2020-04-15 at 10_56_50 AM.png (https://dl.airtable.com/.attachments/71fd51053738ea1550abe538e9eb108c/734528f6/ScreenShot2020-04-15at10_56_50AM.png),,See Globals airtable id favorites.none to edit message,"We'd like to change the message that appears to say: 

Tap the hearts in your Accomplishments and Shoutouts to add them to Favorites.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,4/20/2020 4:05pm,2020-04-20,7507
HOMEPAGE: Change the message on the Career Plan landing page that appears when no Goal has been added. See image and description. ,UI Fix,Critical,3,Complete,,,2020-04-15,4/15/2020 11:01am,115,Screen Shot 2020-04-15 at 11_01_06 AM.png (https://dl.airtable.com/.attachments/1387f015273f7ed7f45b0cec56da8a31/2537841f/ScreenShot2020-04-15at11_01_06AM.png),,See Globals table id reflection.nogoal to edit the message,"We'd like to change the message that appears to say: 

Reflecting on your career plan at least once per week helps you focus on your career priorities. Add a Goal, Motivation, and Objective to your plan in the Career Section.",,,,,⚠️ Need to notify,1,1,,4/20/2020 4:05pm,2020-04-20,7504
HOMEPAGE: Add a message on the Takeaways landing page that appears when no Takeaways have been added. See image and description.,UI Fix,Critical,3,Complete,,,2020-04-15,4/15/2020 11:06am,115,File (3).jpg (https://dl.airtable.com/.attachments/314c6d759513c6f05ebadfa12ca3f3d0/dcc51530/File3.jpg),,See Globals table id takeaways.none to edit the message,"Just like with Favorites and Career Plan, we'd like a message to appear on the Takeaways landing page when there are no Takeaway tiles. We'd like the message to say: 

Complete a chat to add a Takeaway Tile. ",,,,,⚠️ Need to notify,1,1,,4/20/2020 4:05pm,2020-04-20,7499
UI SCRUB: Change the background color of all cards to white from grey. See list of places in description. ,UI Fix,Critical,11,Complete,,,2020-04-17,4/17/2020 2:59pm,113,,,,"Places to make the change:
Favorites on the homepage
Section lists
Collections view",,,,,⚠️ Need to notify,1,1,,4/20/2020 4:14pm,2020-04-20,4395
HOMEPAGE: the UpNext cards on Dev are squished into small vertical slices when viewing the app on a laptop. UpNext cards are the correct size when viewing on the phone. See attachment,Functional Bug,Critical,3,Complete,,,2020-03-31,3/31/2020 4:18pm,130,Screen Shot 2020-03-31 at 4_16_54 PM.png (https://dl.airtable.com/.attachments/2f881de4e44120d2eede21b45754fa38/c3177892/ScreenShot2020-03-31at4_16_54PM.png),,"4.14.2020 I think we determined this is only an issue in dev, and happens because of the resizing of the screen. I don't think plan to resolve this issue. ",,,,,,⚠️ Need to notify,1,1,,4/24/2020 1:36pm,2020-04-24,34398
COLLECTIONS: Collections should only include Accomplishments and Shoutouts. ,,Critical,5,Complete,,34,2020-04-18,4/18/2020 3:31pm,112,,Adam Galper,"Use EntrySpec behavior ""Collectible"" to indicate that an EntrySpec can be added to a collection. I have added this behavior to Accomplishment and Shoutout for now.","When a collection is created or edited, only accomplishments and shoutouts should be able to be added for now. ",,,,Nicole Johnson,⚠️ Need to notify,1,1,,4/24/2020 4:58pm,2020-04-24,8726
"COLLECTIONS: ""Add to Collection"" should only be available in the ... menu for accomplishments and shoutouts",,Critical,5,Complete,,34,2020-04-18,4/18/2020 3:34pm,112,,Adam Galper,,"When a collection is created or edited, only accomplishments and shoutouts should be able to be added for now. ",,,,Nicole Johnson,⚠️ Need to notify,1,1,,4/24/2020 2:46pm,2020-04-24,8592
"CONVERSATION: Store current conversation statement result and use test functions in EnableIf for subsequent statements
",New Feature,Critical,21,Complete,,,2020-04-22,4/22/2020 3:53pm,108,"Screen Shot 2020-04-23 at 10_40_50 AM.png (https://dl.airtable.com/.attachments/1cff639b75f8714363e3cba50286bea3/c1be30af/ScreenShot2020-04-23at10_40_50AM.png),Screen Shot 2020-04-23 at 10_41_26 AM.png (https://dl.airtable.com/.attachments/823c319638184c1d16f1d4a87bd4843f/baed9e09/ScreenShot2020-04-23at10_41_26AM.png)",,"4.23.2020 I tested the chat, and received an error. I added pics of the errors to the attachments. NJ
----------------------
You can now test whether a firstEntry has been created during the current execution of a chat using @wasFirstEntryJustCreated(<statement-id>)

E.g. $Pitching.accompMatter30sec AND @wasFirstEntryJustCreated(""PitchYouGotAccomplishments.30sec"")","See https://docs.google.com/document/d/1eROJLI6EUIbZN_ef4zzhDUHoXGyuwFIiI0tXJ44LMx0/edit#heading=h.q3gxrftzjz3l

Notes from Adam: Create context on conversation service to store results of actions performed by statements, keyed by statement order. Then provide @function to test current context within EnableIf logic.",,,,,⚠️ Need to notify,1,1,,4/27/2020 3:27pm,2020-04-27,7174
